Uginanie ramion z gumą|REPEAT|FITNESS|13|BICEPS|1) Pozycja stojąca, ustabilizowana sylwetka, mięśnie brzucha i pośladki mocno napięte.2) Ustabilizowane łokcie, które znajdują się możliwie jak najbliżej tułowia.3) Guma oporowa trzymana podchwytem, zablokowana pod stopami.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i wykonaj dokładne płynne zgięcie przedramion w pełnym zakresie ruchu.2) Utrzymaj maksymalnie napięty biceps przez ułamek sekundy.3) Następnie powolnym ruchem opuść przedramiona do pełnego rozciągnięcia, wykonaj również płynny wydech.|1) Nie bujaj ciałem.2) Nie odrywaj łokci.3) Trzymaj głowę w równej linii z plecami.4) Tylko przedramiona są ruchome.|video-uginanie-ramion-z-guma.mp4
Zginanie ramion ze sztangą nachwytem|REPEAT|SPLIT;FBW;FITNESS|14|BICEPS|1) Pozycja stojąca, ciało wyprostowane, sztanga trzymana nachwytem na szerokość braków.2) Stopy na szerokość barków, pośladki i brzuch mocno spięte.3) Pełne ustabilizowanie łokci, które znajdują się możliwie blisko tułowia.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i przytrzymując ramiona nieruchomo, wykonaj ugięcie przedramion ze sztangą do momentu szczytowego napięcia bicepsa, w którym sztanga powinna znajdować w okolicach wysokości barków. 2) Utrzymaj maksymalnie napięty biceps przez ułamek sekundy.3) Następnie powolnym ruchem rozpocznij opuszczanie, jednocześnie wypuszczając powietrze.|1) Każde powtórzenie wykonuj z pełnym rozciągnięciem mięśni. 2) Zadbaj o zachowanie prostej postawy.3) Napnij mięśnie brzucha i pośladki w celu dodatkowej stabilizacji odcinka lędźwiowego kręgosłupa.4) Nie szarp ciężaru. Zarówno łokcie, jak i ramiona są unieruchomione.5) Tylko przedramiona są ruchome.6) Unikaj zginania pleców i bujania tułowiem.7) Bądź skoncentrowany.|zginanie_ramion_ze_sztanga_nachwytem.mp4
Uginanie ramion na TRX|REPEAT|FITNESS|21|BICEPS|1) Złap za uchwyty TRX podchwytem, lekko odchyl ciało.2) Ramiona i nogi wyprostowane, ciało w jednej linii.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i zacznij uginać ramiona w łokciach. Podczas ćwiczenia utrzymuj łokcie na stałej wysokości, dłonie kieruj w stronę czoła.2) Wykonaj maksymalne zgięcie w łokciach, zatrzymaj ruch na ułamek sekundy. 3) Następnie wraz z wydechem zacznij powoli prostować ramiona i opuszczać ciało do pozycji wyjściowej. Prostując ramiona, utrzymuj łokcie bez ruchu.|1) Postaraj się zachować ciało w jednej linii podczas wykonywania ćwiczenia.2) Ćwiczenie wykonuj powoli, z pełnym wyczuciem zaangażowanej grupy mięśniowej.3) Podczas wykonywania ruchu skup się na prawidłowym utrzymaniu łokci.4) Zwróć uwagę na prawidłowe oddychanie.|uginanie_ramion_trx.mp4
Uginanie ramion z hantlami nachwytem|REPEAT|SPLIT;FBW;FITNESS|15|BICEPS|1) Stojąca, ustabilizowana sylwetka, mięśnie brzucha oraz pośladki mocno napięte. 2) Ustabilizowane łokcie, które znajdują się możliwie jak najbliżej tułowia.3) Sztangielki trzymane nachwytem.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i wykonaj dokładne płynne zgięcie przedramion w pełnym zakresie ruchu.2) Utrzymaj maksymalnie napięty biceps przez ułamek sekundy.3) Następnie powolnym ruchem opuść przedramiona do pełnego rozciągnięcia, wykonaj również płynny wydech.|1) Nie bujaj ciałem. 2) Nie szarp ciężaru. Nie odrywaj łokci.3) Trzymaj głowę w równej linii z plecami.4) Tylko przedramiona są ruchome.5) Bądź skoncentrowany.|uginanie_ramion_z_hantlami_nachwytem.mp4
Uginanie ramion z hantlami w oparciu o ławeczkę|REPEAT|SPLIT;FBW;FITNESS|15;4|BICEPS|1) Oprzyj klatkę piersiową o ławkę, kąt 30–45 stopni.2) Ramiona powinny znajdować się prostopadle do podłoża, dłonie trzymają hantle.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i rozpocznij uginanie ramion. 2)  prowadź aż do maksymalnego spięcia, nie cofaj łokci. 3) W górnej fazie zatrzymaj ruch na pół sekundy, a następnie spokojnym tempem wraz z wydechem opuść ramiona do pełnego rozciągnięcia.|1) Utrzymuj stałe napięcie mięśni.2) Pamiętaj o dobraniu właściwego obciążenia.3) Bądź skoncentrowany.|uginanie_ramion_z_hantlami_w_oparciu_o_laweczke.mp4
Uginanie ramion ze sztangą w oparciu o ławeczkę|REPEAT|SPLIT;FBW;FITNESS|15;4|BICEPS|1) Oprzyj klatkę piersiową o ławkę, kąt 30–45 stopni.2) Złap sztangę łamaną podchwytem, ramiona powinny znajdować się prostopadle do podłoża.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i rozpocznij uginanie ramion. 2)  prowadź aż do maksymalnego spięcia, nie cofaj łokci. 3) W górnej fazie zatrzymaj sztangę na pół sekundy, a następnie spokojnym ruchem wraz z wydechem opuść ramiona do pełnego rozciągnięcia.|1) Utrzymuj stałe napięcie mięśni.2) Pamiętaj o dobraniu właściwego obciążenia.3) Bądź skoncentrowany.|uginanie_ramion_ze_sztanga_w_oparciu_o_laweczke.mp4
Zginanie ramion z hantlami na modlitewniku chwytem młotkowym|REPEAT|SPLIT;FBW;FITNESS|24;15|BICEPS|1) Pozycja siedząca na modlitewniku, łokcie wsparte na pulpicie, plecy wyprostowane.2) Klatka piersiowa przylega do modlitewnika, łopatki ściągnięte. 3) Ramiona ugięte w łokciach, hantle blisko przy brodzie, trzymane chwytem młotkowym. 4) Nogi rozstawione w sposób pozwalający zachować stabilną pozycję.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech, dokładnie, kontrolowanym ruchem opuść przedramię z ciężarem.2) Ramię opuszczaj do pełnego wyprostu, lecz nie pozwól na przeprost ramienia w łokciu. 3) Utrzymując powietrze, rozpocznij uginanie, w końcowej fazie wypuść powietrze. 4) Wykonaj zadaną liczbę powtórzeń.|1) Nie doprowadzaj do przeprostu w łokciach. 2) Nie szarp ciężaru. Nie odrywaj łokci od pulpitu. Pamiętaj o spokojnym odłożeniu ciężaru.3) Trzymaj głowę w równej linii z plecami.4) Tylko przedramiona są ruchome.5) Plecy są wyprostowane.6) Bądź skoncentrowany.|zginanie_ramion_z_hantlami_na_modlitewniku_chwytem_mlotkowym.mp4
Uginanie ramienia z linką wyciągu dolnego stojąc|REPEAT|SPLIT;FBW;FITNESS|22|BICEPS|1) Pozycja stojąca, tyłem do wyciągu dolnego, około pół metra od wyciągu.2) Brzuch i pośladki mocno napięte, ciało wyprostowane. 3) Uchwyt linki wyciągu dolnego trzymany w jednej dłoni, ramię lekko cofnięte.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i wykonaj dokładne, płynne zgięcie ramienia w pełnym zakresie ruchu aż do momentu, w którym przedramię dotknie bicepsa, a łokieć lekko się uniesie. 2) Przytrzymaj maksymalnie napięty biceps przez ułamek sekundy.3) Następnie wraz z wydechem powolnym ruchem opuść przedramię.| 1) Nie szarp ciężaru. 2) Trzymaj głowę w równej linii z plecami.3) Plecy są wyprostowane.4) Bądź skoncentrowany.|uginanie_ramienia_z_linka_dolnego_wyciagu_stojac.mp4
Zginanie ramion z hantlami na modlitewniku|REPEAT|SPLIT;FBW;FITNESS|24;15|BICEPS|1) Pozycja siedząca na modlitewniku, łokcie wsparte na pulpicie, plecy wyprostowane.2) Klatka piersiowa przylega do modlitewnika, łopatki ściągnięte. 3) Ramiona ugięte w łokciach, hantle blisko przy brodzie, kciuki skierowane na zewnątrz. 4) Nogi rozstawione w sposób pozwalający zachować stabilną pozycję.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech, dokładnie, kontrolowanym ruchem opuść przedramię z ciężarem.2) Ramię opuszczaj do pełnego wyprostu, lecz nie pozwól na przeprost ramienia w łokciu. 3) Utrzymując powietrze, rozpocznij uginanie, w końcowej fazie wypuść powietrze. 4) Wykonaj zadaną liczbę powtórzeń.|1) Nie doprowadzaj do przeprostu w łokciach. 2) Nie szarp ciężaru. Nie odrywaj łokci od pulpitu. Pamiętaj o spokojnym odłożeniu ciężaru.3) Trzymaj głowę w równej linii z plecami.4) Tylko przedramiona są ruchome.5) Plecy są wyprostowane.6) Bądź skoncentrowany.|zginanie_ramion_z_hantlami_na_modlitewniku.mp4
Zottman curl|REPEAT|SPLIT;FBW;FITNESS|15|BICEPS|1) Pozycja stojąca. 2) Ramiona wzdłuż ciała, brzuch i pośladki napięte.3) Hantle w dłoniach w pozycji neutralnej – kciuki skierowane w przód.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech.2) Rozpocznij uginanie z jednoczesną rotacją zewnętrzną (supinacją), tak aby finalnie dłoń była skierowana kciukiem na zewnątrz.3) W górnej pozycji zatrzymaj uginanie i wykonaj pronację, czyli rotację wewnętrzną, tak aby kciuki skierowane były do siebie (nachwyt).4) W takim ułożeniu dłoni wykonaj opuszczanie znacznie wolniej niż podnoszenie, wracając do neutralnej pozycji ramion.|1) Nie szarp ciężaru. Trzymaj łokcie blisko ciała. Nie„bujaj” tułowiem. 2) Pamiętaj o kontrolowanym opuszczaniu ciężaru.3) Dobierz ciężar tak, aby każde powtórzenie było wykonane zgodnie z prawidłową techniką.4) Bądź skoncentrowany. Utrzymuj stałe napięcie mięśni brzucha oraz pośladków.|zotman_curl.mp4
