Rozpiętki na TRX|REPEAT|FITNESS|21|CHEST|1) Podpór przodem na taśmach TRX.2) Tułów wyprostowany, ręce ustawione prostopadle do osi ciała. Dłonie w jednej linii, ustawione równolegle do siebie nieco szerzej niż rozstaw barków.3) Nogi wyprostowane, ciało w jednej linii.4) Stopy mocno zaparte o podłoże.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj mocny wdech do brzucha, następnie przez odwodzenie ramion w bok opuszczaj ciało. Należy zadbać o to, aby tułów był cały czas w linii prostej, a biodra nie opadały.2) W pozycji dolnej powinieneś czuć rozciąganie klatki piersiowej.3) Następnie płynnym kontrolowanym ruchem wraz z wydechem wróć do pozycji wyjściowej przez przywodzenie ramion do środka.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Stopy solidnie zaprzyj o podłogę.3) Podczas ćwiczenia utrzymuj łokcie w minimalnym ugięciu, lecz mocno zablokowane.4) W trakcie napinania mięśni brzucha i mięśni pośladkowych zachowuj prawidłową (wyprostowaną) postawę ciała.5) Upewnij się, że taśmy są odpowiednio zamocowane.6) Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.|rozpietki_trx.mp4
Pompki podwieszane na TRX|REPEAT|FITNESS|21|CHEST|1) Podpór przodem. Nogi podwieszone w uchwytach taśm TRX.2) Tułów wyprostowany, ręce ustawione prostopadle do osi ciała. Dłonie w jednej linii, ustawione równolegle do siebie na szerokości barków.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj płynny wdech. Zacznij zginać przedramiona i opuszczać klatkę piersiową do podłoża. Należy zadbać o to, aby tułów był cały czas w linii prostej, a biodra nie opadały.2) Wróć do pozycji wyjściowej, prostując ramiona. Kończąc ruch, wykonaj wydech.3) Wykonaj wyznaczoną liczbę powtórzeń.|1) Kontroluj ruch podczas wykonywania ćwiczenia.2) Bądź skoncentrowany.3) W trakcie napinania mięśni brzucha oraz mięśni pośladkowych zachowuj prawidłową (wyprostowaną) postawę ciała.4) Pamiętaj o prawidłowym oddychaniu.5) Łokcie prowadź na zewnątrz, nie powinny dotykać tułowia.|pompki_podwieszone_trx.mp4
Wyciskanie sztangi na ławce skośnej głową w dół|REPEAT|SPLIT;FBW;FITNESS|14;4|CHEST|1) Połóż się na ławce ze skosem ujemnym.2) Złap sztangę nieco szerzej niż na szerokość barków. 3) Unieś sztangę ze stojaków, utrzymuj łopatki mocno ściśnięte ze sobą.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i powolnym ruchem opuść sztangę w stronę dolnej części klatki piersiowej.2) Po przytrzymaniu sztangi przez ułamek sekundy rozpocznij wyciskanie, w końcowej fazie wykonując wydech powietrza.3) W momencie wyprostowania ramion ze sztangą (unikaj przeprostu w łokciach) mocno dopnij mięsień piersiowy, po czym ponownie zacznij opuszczać ramiona.4) Wykonaj zadaną liczbę powtórzeń.|1) Tempo opuszczania sztangi powinno być dwa razy wolniejsze niż tempo wyciskania.2) Utrzymuj stałe napięcie mięśni.3) Postaraj się nie wyginać nadmiernie nadgarstków.4) Dbaj o staw łokciowy, nie doprowadzaj doprzeprostu ramienia pod ciężarem.5) Skup się na prawidłowym oddychaniu.6) Bądź skoncentrowany.7) Jeżeli zamierzasz wyciskać duże ciężary, poproś o pomoc i asekurację.|wyciskanie_sztangi_lawce_skosnej_glowa_w_dol.mp4
Pompki na TRX|REPEAT|FITNESS|21|CHEST|1) Podpór przodem na taśmach TRX.2) Tułów wyprostowany, ręce ustawione prostopadle do osi ciała, dłoniew jednej linii ustawione równolegle do siebie nieco szerzej niż rozstaw barków.3) Nogi wyprostowane, ciało w jednej linii.4) Stopy mocno zaparte o podłoże.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj mocny wdech do brzucha, następnie ugnij łokcie i opuść całe ciało. Należy zadbać o to, aby tułów był cały czas w linii prostej, a biodra nie opadały.2) W pozycji dolnej powinieneś czuć rozciąganie klatki piersiowej.3) Następnie energicznym ruchem wraz z wydechem wróć do pozycji wyjściowej poprzez wyprost w stawach łokciowych oraz przywodzenie ramion do środka.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Stopy solidnie oprzyj o podłogę.3) Bądź skoncentrowany.4) Napinając mięśnie brzucha i pośladkowe, zachowuj prawidłową (wyprostowaną) postawę ciała.5) Upewnij się, że taśmy są odpowiednio zamocowane.6) Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.|trx_pompki.mp4
Floor press|REPEAT|SPLIT;FBW;FITNESS|15|CHEST|1) Połóż się na podłodze, ugnij nogi.2) Unieś sztangielki. Ramiona ustaw pod kątem około 45 stopni względem ciała.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech do brzucha.2) Zdecydowanym, kontrolowanym ruchem wyciśnij ciężar w górę poprzez wyprost ramion, w końcowej fazie ruchu wykonaj wydech.3) W momencie prostowania ramion ze sztangielkami unikaj przeprostu w łokciach.4) Spokojnym ruchem wróć do pozycji wyjściowej, wykonując wdech.|1) Pamiętaj, że tempo opuszczania sztangielekpowinno być dwa razy wolniejsze niż tempo wyciskania.2) Utrzymuj stałe napięcie mięśni.3) Postaraj się nie wyginać nadmiernie nadgarstków.4) Dbaj o staw łokciowy, nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem.5) Skup się na prawidłowym oddychaniu przeponowym.6) Bądź skoncentrowany.7) Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.|floor_press_1.mp4
Przenoszenie sztangielki za głowę|REPEAT|SPLIT;FBW;FITNESS|15;3|CHEST| 1) Pozycja leżąca na ławeczce płaskiej.2) Stopy w lekkim rozkroku mocno zaparte o podłoże.3) Ramiona uniesione prostopadle do podłogi.4) Sztangielka trzymana oburącz, krążek spoczywa na wewnętrznej części dłoni, kciuk i palec wskazujący obejmują uchwyt.| 1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i powolnym, półkolistym ruchem opuść sztangielkę za głowę, aż poczujesz silne rozciąganie w klatce piersiowej. Łokcie utrzymuj lekko zgięte.2) Następnie rozpocznij powrót do pozycji wyjściowej, przenosząc sztangielkę na wysokość mostka oraz wykonując wydech. 3) Wykonaj ruch zadaną liczbę powtórzeń.| 1) Mięśnie brzucha mocno napięte.2) Utrzymuj stałe napięcie mięśni klatki piersiowej.3) Skup się na prawidłowym oddychaniu.4) Zbyt szybkie wykonywanie ćwiczenia jest błędem technicznym.|przenoszenie_sztangielki_za_glowe.mp4
Wyciskanie sztangielek na ławce skośnej głową w dół|REPEAT|SPLIT;FBW;FITNESS|14;4|CHEST| 1) Połóż się na ławce ze skosem ujemnym. 2) Unieś sztangielki w górę. Ramiona ustaw na szerokość barków, prostopadle do podłogi. 3) Odwróć nadgarstki tak, aby kciuki były skierowane ku sobie.| 1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i powolnym ruchem opuść sztangielki w okolicę dolnej części klatki piersiowej. 2) Po przytrzymaniu sztangielek przez ułamek sekundy zacznij unosić sztangielki z powrotem do pozycji wyjściowej, wykonując wydech powietrza. Skup się, by wyciskanie następowało z mięśnia piersiowego. 3) W momencie wyprostowania ramion ze sztangielkami(unikaj przeprostu w łokciach) mocno dopnij mięsień piersiowy, po czym ponownie zacznij opuszczać ramiona. 4)Wykonaj wyznaczoną liczbę powtórzeń.| 1) Tempo opuszczania sztangielek powinno być dwa razy wolniejsze niż tempowyciskania. 2) Utrzymuj stałe napięcie mięśni. 3) Postaraj się nie wyginać nadmiernie nadgarstków. 4) Dbając o staw łokciowy, nie doprowadzaj do pełnego wyprostu ramienia pod ciężarem. 5) Skup się na prawidłowym oddychaniu. 6) Bądź skoncentrowany. 7) Wyciskając duże ciężary, poproś o pomoc i asekurację.|wyciskanie_sztangielek_na_lawce_skosnej_glowa_w_dol.mp4
Pompki (wersja klasyczna)|REPEAT|SPLIT;FBW;FITNESS|20|CHEST|1) Przyjmij pozycję podporu przodem. 2) Dłonie ustaw na wysokości barków, nieco szerzej niż ich szerokość, palce dłoni skieruj do przodu. Zablokuj ramiona w stawach łokciowych.3) Zachowaj naturalną krzywiznę kręgosłupa.4) Napnij mięśnie brzucha i pośladki.| 1) Utrzymując prawidłową pozycję wyjściową, wykonaj dokładne, płynne i powolne opuszczenie klatki piersiowej (bez dotykania podłoża) połączone z wdechem powietrza, a następnie dynamiczne podnieś tułów wraz z wydechem powietrza.  2) Wykonaj zadaną liczbę powtórzeń.|1) Pamiętaj o utrzymywaniu napięcia mięśni brzucha i pośladków podczas całego ruchu. 2) Cały czas kontroluj ruch opuszczania tułowia. 3) Dynamicznie i mocno podnoś tułów. 4) Utrzymuj głowę w równej linii z kręgosłupem (wzrok skierowany na podłoże). 5) Bądź skoncentrowany.|pompki_tradycyjne_pompka_klasyczna.mp4
Rozpiętki z hantlami na ławce płaskiej|REPEAT|SPLIT;FBW;FITNESS|15;3|CHEST| 1) Połóż się na ławce płaskiej. 2) Unieś sztangielki. Ramiona ustaw na szerokość barków, prostopadle do podłogi. Barki maksymalnie opuszczone, łopatki złączone. 3) Odwróć nadgarstki tak, aby palce były skierowane ku sobie.| 1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i powolnym ruchem rozłóż wyprostowane ramiona, aż poczujesz silne rozciąganie w klatce piersiowej. 2) Zacznij unosić sztangielki z powrotem do pozycji wyjściowej, wykonując wydech powietrza i mocno napinając klatkę piersiową. 3) W momencie wyprostowania ramion ze sztangielkami (unikaj przeprostu w łokciach) mocno dopnij mięsień piersiowy, po czym ponownie zacznij rozkładać ramiona. 4) Wykonaj zadaną liczbę powtórzeń.| 1) Tempo opuszczania ramion powinno być dwa razy wolniejsze niż ich unoszenie. 2) Utrzymuj stałe napięcie mięśni. 3) Skup się na prawidłowym oddychaniu. 4) Bądź skoncentrowany.|rozpietki_z_hantlami_na_ławce_płaskiej.mp4
Pompki na poręczach|REPEAT|SPLIT;FBW;FITNESS|19|CHEST| 1) Chwytając za poręcze, unieś ciało w górę poprzez mocne wyprostowanie ramion. 2) Tułów utrzymuj prostopadle do podłoża.| 1) Pochyl tułów do przodu do momentu, w którym poczujesz rozciąganie w klatce piersiowej. Tak pochylony wykonaj wdech i zginając ramiona w łokciach, zejdź do momentu, w którym klatka będzie znajdowała się w okolicy poręczy. 2) Wykonując wydech, prostuj ramiona, powracając do pozycji wyjściowej. 3) Powtórz ruch zalecaną ilość powtórzeń.| 1) Kontroluj ruch podczas trwania ćwiczenia. 2) Bądź skoncentrowany. 3) W celu uniknięcia urazu wykonując to ćwiczenie po raz pierwszy, nie należy opuszczać ciała przesadnie nisko.|pompki_na_poreczach.mp4
