Wykroki skośne|REPEAT|SPLIT;FBW;FITNESS|20|LEGS|1) Pozycja stojąca.2) Dłonie na biodrach.3) Łopatki ściągnięte, brzuch i pośladki mocno napięte.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i wykonaj wykrok w przód i lekko na zewnątrz. 2) Następnie obniż pozycję tak, aby zarówno w nodze wykrocznej, jak i zakrocznej osiągnąć ok. 90 stopni zgięcia w kolanie.3) Wykonując wydech, wróć do pozycji wyjściowej.|1) Kontroluj ruch wykroku.2) Nie bujaj tułowiem (trzymaj tułów stabilnie w jednej linii).3) Głowa powinna znajdować się w równej linii z plecami.4) Wzrok skieruj przed siebie.5) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).6) Ciężar rozłóż równomiernie na całej stopie wykrocznej.|video-wykroki-skosne.mp4|=
Zercher squat|REPEAT|SPLIT;FBW;FITNESS|14|LEGS|1) Pozycja stojąca.2) Sztanga ułożona przed klatką piersiową, trzymana w zgiętych ramionach.3) Stopy ustawione mniej więcej na szerokość barków (palce stóp na zewnątrz).4) Klatka piersiowa wypchnięta, łopatki ściągnięte, brzuch i pośladki napięte.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech, wykonaj płynny i powolny przysiad, tak bybiodra znalazły się poniżej linii kolan.2) Następnie wróć do pozycji wyjściowej poprzez wyprost w stawach biodrowych i kolanowych. Nie wykonuj przeprostu w stawach kolanowych.3) W końcowej fazie ruchu wykonaj wydech.|1) Kontroluj ruch siadu.2) Nie bujaj tułowiem (trzymaj tułów stabilnie w jednej linii).3) Głowę trzymaj w równej linii z plecami.4) Wzrok skieruj przed siebie.5) Nie wykonuj kociego grzbietu.6) Nie wykonuj przeprostu w kolanach.7) Bądź skoncentrowany.8) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).9) Ciężar rozłóż równomiernie na całych stopach.|video-zercher-squat.mp4|
Spanish squat|REPEAT|SPLIT;FBW;FITNESS|13|LEGS| 1) Pozycja stojąca przed miejscem zaczepienia gumy. 2) Guma zaczepiona na wysokości kolan. 3) Dłonie zaciśnięte przed sobą. 4) Brzuch mocno napięty, żebra schowane, pośladki napięte.| 1) Utrzymując prawidłową pozycję wyjściową, weź wdech, a następnie rozpocznij wykonywanie przysiadu poprzez jednoczesne zgięcie w stawach biodrowych i stawach kolanowych. 2)  kontynuuj do momentu wykonania pełnego przysiadu lub do momentu, do którego pozwala na to mobilność twojego ciała. 3) Rozpocznij ruch w górę, postaraj się zaangażować mięśnie pośladkowe. W końcowej fazie ruchu wykonaj wydech i zakończ ćwiczenie z mocno napiętymi mięśniami brzucha i pośladkami.| 1) Podczas wykonywania ćwiczenia utrzymuj proste plecy. 2) Zbyt szybkie tempo wykonywania ćwiczenia jest błędem technicznym. 3) Ciężar ciała powinien spoczywać na całych stopach. 4) Unikaj przeprostu w kolanach w końcowej fazie przysiadu.5) Pilnuj, aby kolana nie schodziły się do środka.|video-spanish-squat.mp4|
Przysiad do podwyższenia|REPEAT|SPLIT;FBW;FITNESS|14;2|LEGS| 1) Pozycja stojąca przed podwyższeniem. 2) Nogi ustawione szerzej niż na szerokość bioder. Stopy skierowane minimalnie na zewnątrz. 3) Sztanga ułożona na plecach.| 1) Utrzymując prawidłową pozycję wyjściową weź wdech i rozpocznij ruch przysiadu od równoczesnego zgięcia w stawach kolanowych i biodrowych. 2) Wykonuj płynny i powolny przysiad do momentu zetknięcia się pośladków z podwyższeniem. 3) Wykonując wydech, wstań do pozycji wyjściowej. Nie wykonuj przeprostu w stawach kolanowych. Pilnuj, aby kolana nie schodziły się do środka.| 1) Kontroluj ruch siadu, nie opadaj bezwładnie na podwyższenie. 2) Nie bujaj tułowiem (trzymaj go stabilnie w jednej linii). 3) Głowa powinna stanowić przedłużenie kręgosłupa. 4) Wzrok skieruj przed siebie. 5) Nie rób przeprostu w kolanach. 6) Nie prowadź kolan do wewnątrz (utrzymuj je w jednej linii ze stopami). 7) Ciężar rozłóż równomiernie na całej stopie. 8) Do ćwiczenia możesz wykorzystać skrzynię/ławeczkę/stepy lub inne solidne podwyższenie. 9) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-przysiad-do-podwyzszenia.mp4|
Landmine reverse lunges|REPEAT|SPLIT;FBW;FITNESS|14|LEGS|1) Pozycja stojąca, plecy proste. 2) Koniec sztangi trzymany oburącz przed klatką piersiową. 3) Stopy ustawione mniej więcej na szerokość barków (palce stóp lekko na zewnątrz). 4) Klatka piersiowa wypchnięta, łopatki ściągnięte, brzuch i pośladki napięte.| 1) Utrzymując prawidłową pozycję wyjściową, weź wdech i wykonaj zakrok.  2) Następnie ugnij kolana tak, aby kolano nogi zakrocznej znajdowało się tuż nad podłogą.  3) Następnie wydychając powietrze, wróć do pozycji początkowej.| 1) Pamiętaj o utrzymaniu prostych pleców. 2) Nie bujaj tułowiem (trzymaj stabilnie w jednej linii). 3)Głowa powinna stanowić przedłużenie kręgosłupa. 4) Wzrok skieruj przed siebie. 5) Nie wykonuj przeprostu w kolanach. 6) Nie prowadź kolan do wewnątrz.|video-landmine-reverse-lunges.mp4|
Goblet box squat|REPEAT|SPLIT;FBW;FITNESS|2|LEGS|1) Pozycja stojąca przed podwyższeniem. 2) Nogi ustawione szerzej niż na szerokość bioder. Stopy skierowane minimalnie na zewnątrz. 3) Kettlebell lub inne obciążenie trzymane w dłoniach przed klatką piersiową.| 1) Utrzymując prawidłową pozycję wyjściową, weź wdech i rozpocznij przysiad od równoczesnego zgięcia w stawach kolanowych i biodrowych. 2) Wykonuj płynny i powolny przysiad do momentu zetknięcia pośladków z podwyższeniem. 3) Wykonując wydech, wstań do pozycji wyjściowej. Nie wykonuj przeprostu w stawach kolanowych i pilnuj, aby kolana nie schodziły się do środka.| 1) Kontroluj ruch siadu, nie opadaj bezwładnie na podwyższenie. 2) Nie bujaj tułowiem (trzymaj go stabilnie w jednej linii). 3) Głowę trzymaj w równej linii z plecami. 4) Wzrok skieruj przed siebie. 5) Nie rób przeprostu w kolanach. 6) Nie prowadź kolan do wewnątrz (utrzymuj je w jednej linii ze stopami). 7) Ciężar rozłóż równomiernie na całej stopie. 8) Do ćwiczenia możesz wykorzystać skrzynię/ławeczkę/stepy lub inne solidne podwyższenie. 9) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-goblet-box-squat.mp4|
Reverse drop lunges with dumbbell|REPEAT|SPLIT;FBW;FITNESS|6;15|LEGS|1) Pozycja stojąca na podwyższeniu.2) Hantelki trzymane chwytem młotkowym.3) Łopatki ściągnięte, brzuch i pośladki napięte.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i schodząc z podwyższenia, wykonaj zakrok jedną nogą do tyłu. Noga wykroczna pozostaje w miejscu.2) W pozycji wykroczno-zakrocznej ugnij kolana tak, aby kolano nogi zakrocznej znalazło się tuż nad podłogą. Nie pochylaj się.3) Wykonując wydech, przenieś ciężar na nogę wykroczną i poprzez energiczną pracę nóg wróć do pozycji wyjściowej.|1) Kontroluj ruch zakroku.2) Nie bujaj tułowiem, utrzymuj kolce biodrowe na jednej wysokości.3) Głowę trzymaj w równej linii z plecami.4) Wzrok skieruj przed siebie.5) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).6) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-reverse-drop-lunges-with-dumbbell.mp4|
Reverse drop lunges|REPEAT|SPLIT;FBW;FITNESS|6|LEGS|1) Pozycja stojąca na podwyższeniu.2) Dłonie ułożone na biodrach.3) Łopatki ściągnięte, brzuch i pośladki napięte.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i schodząc z podwyższenia, wykonaj zakrok jedną nogą do tyłu. Noga wykroczna pozostaje w miejscu.2) W pozycji wykroczno-zakrocznej ugnij kolana tak, aby kolano nogi zakrocznej znalazło się tuż nad podłogą. Nie pochylaj się.3) Wykonując wydech, przenieś ciężar na nogę wykroczną i poprzez energiczną pracę nóg wróć do pozycji wyjściowej.|1) Kontroluj ruch zakroku.2) Nie bujaj tułowiem, utrzymuj kolce biodrowe na jednej wysokości.3) Głowę trzymaj w równej linii z plecami.4) Wzrok skieruj przed siebie.5) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).6) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-reverse-drop-lunges.mp4|
Landmine squat|REPEAT|SPLIT;FBW;FITNESS|14|LEGS|1) Pozycja stojąca, plecy proste.2) Koniec sztangi trzymany oburącz przed klatką piersiową.3) Stopy mniej więcej na szerokości barków (palce stóp na zewnątrz).4) Klatka piersiowa wypchnięta, łopatki ściągnięte, brzuch i pośladki napięte.|1) Utrzymując prawidłową pozycję wyjściową i naturalną krzywiznę kręgosłupa, weź wdech i wykonaj płynny i powolny przysiad tak, aby biodra znalazły się poniżej linii kolan.2) Wykonując wydech, wstań do pozycji wyjściowej. Nie rób przeprostu w stawach kolanowych.3)Wykonaj wyznaczoną liczbę powtórzeń.|1) Pamiętaj o utrzymaniu prostych pleców.2) Kontroluj ruch siadu.3) Nie bujaj tułowiem (trzymaj stabilnie w jednej linii).4) Głowę trzymaj w równej linii z plecami.5) Wzrok skieruj przed siebie. 6) Nie wykonuj kociego grzbietu.7) Nie wykonuj przeprostu w kolanach.8) Bądź skoncentrowany.9) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).10) Ciężar rozłóż równomiernie na całych stopach.|video-landmine-squat.mp4|
Przysiad z gumą|REPEAT|SPLIT;FBW;FITNESS|13|LEGS|1) Pozycja stojąca, plecy proste.2) Guma oporowa trzymana oburącz przed klatką piersiową.3) Stopy mniej więcej na szerokości barków (palce stóp na zewnątrz).4) Klatka piersiowa wypchnięta, łopatki ściągnięte, brzuch i pośladki napięte.|1) Utrzymując prawidłową pozycję wyjściową i naturalną krzywiznę kręgosłupa, weź wdech i wykonaj płynny i powolny przysiad do pozycji w której biodra są poniżej linii kolan.2) Wykonując wydech, wstań do pozycji wyjściowej. Nie rób przeprostu w stawach kolanowych.3)Wykonaj wyznaczoną liczbę powtórzeń.|1) Pamiętaj o utrzymaniu prostych pleców.2) Kontroluj ruch siadu.3) Nie bujaj tułowiem (trzymaj stabilnie w jednej linii).4) Głowę trzymaj w równej linii z plecami.5) Dobierz odpowiedni opór gumy.6) Nie wykonuj kociego grzbietu.7) Nie wykonuj przeprostu w kolanach.8) Bądź skoncentrowany.9) Nie prowadź kolan do wewnątrz (utrzymuj je skierowane lekko na zewnątrz).10) Ciężar rozłóż równomiernie na całych stopach.|video-przysiad-z-guma.mp4|
