Z-press|REPEAT|SPLIT:FBW:FITNESS|15|SHOULDERS|1) Pozycja siedząca, nogi rozstawione tak, aby zapewnić stabilną postawę.2) Ramiona w górze, hantle na wysokości głowy. Łokcie skierowane w dół.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i rozpocznij ruch wyciskania ciężaru nad głowę. 2) W końcowej fazie ruchu wykonaj wydech. 3) Następnie powolnym ruchem opuść hantle, wykonując płynny wdech.|1) Utrzymuj stałe napięcie mięśniowe.2) Łokieć znajduje się pod ciężarem podczas wykonywania ćwiczenia.3) Trzymaj głowę w równej linii z plecami.4) Bądź skoncentrowany.|video-z-press.mp4
Face pull z gumą|REPEAT|SPLIT:FBW:FITNESS|13|SHOULDERS|1) Stań naprzeciw miejsca zaczepienia gumy.2) Stopy ustaw w lekkim rozkroku, plecy proste.3) Złap oburącz za gumę do ćwiczeń, tak aby kciuki wskazywały kierunek na wprost.4) Unieś ramiona przed siebie, łokcie są skierowane na zewnątrz.5) Utrzymuj brzuch w stałym napięciu.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech, a następnie ściśnij łopatki mocno ze sobą oraz opuść je.2) Następnie przyciągnij gumę w kierunku twarzy, kierując łokcie na boki pilnuj, aby barki nie unosiły się.3) Kontynuuj ruch, dopóki łokcie nie przekroczą linii barków, a guma będzie znajdować się przy twarzy.4) Powracaj do pozycji wyjściowej, w której ramiona są wyciągnięte do przodu.|1) Pamiętaj, aby zawsze ustawić łopatki w prawidłowej pozycji.2) Podczas ruchu nie odchylaj ciała.3) Trzymaj ramiona poziomo, prostopadle do tułowia, a równolegle do podłogiprzez cały ruch.4) Bądź skoncentrowany.5) Dobierz opór gumy tak,aby wykonywać ćwiczenie poprawnie technicznie.6) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-face-pull-guma.mp4
Landmine press|REPEAT|SPLIT:FBW:FITNESS|14|SHOULDERS|1) Pozycja wykroczna.2) W przeciwnej ręce do nogi wykrocznej trzymamy koniec sztangi, druga ręka lekko odwiedziona od ciała. 3) Mięśnie brzucha i pośladki mocno napięte, sztangatrzymana na wysokości barku.|1) Wykonaj mocny wdech, a następnie zdecydowanym ruchem wykonaj wyciśnięcie ciężaru nad głowę. W końcowej fazie ruchu pochyl lekko ciało, aby z ramieniem tworzyło jedną linię.2) Utrzymując powietrze, spokojnym ruchem rozpocznij opuszczanie ciężaru. W końcowej fazie ruchu wykonaj wydech, a następnie wdech, przygotowując się do kolejnego powtórzenia.3) Utrzymuj stałe, mocne napięcie, nie bujaj ciałem.|1) Pamiętaj o utrzymaniu prostych pleców.2) Kontroluj ruch wyciskania i opuszczania.3) Nie bujaj tułowiem (trzymaj go stabilnie w jednej linii).4) Głowę trzymaj w równej linii z plecami.5) Wzrok skieruj przed siebie.6) Bądź skoncentrowany.7) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-landmine-press.mp4
Landmine press half kneeling|REPEAT|SPLIT:FBW:FITNESS|14|SHOULDERS|1) Pozycja klęku wykrocznego.2) Noga wykroczna ugięta pod kątem prostym w biodrze i kolanie.3) Mięśnie brzucha i pośladki mocno napięte, koniec sztangitrzymaj na wysokości barku w ręce przeciwnej do nogi wykrocznej.|1) Wykonaj mocny wdech, a następnie zdecydowanym ruchem wykonaj wyciśnięcie ciężaru nad głowę. W końcowej fazie ruchu pochyl lekko ciało w przód tak, aby z ramieniem tworzyło jedną linię.2) Utrzymując powietrze, spokojnym ruchem rozpocznij opuszczanie ciężaru. W końcowej fazie ruchu wykonaj wydech, a następnie wdech, przygotowując się do kolejnego powtórzenia.3) Utrzymuj stałe, mocne napięcie, nie bujaj ciałem.|1) Pamiętaj o utrzymaniu prostych pleców.2) Kontroluj ruch wyciskania i opuszczania.3) Nie bujaj tułowiem (trzymaj go stabilnie w jednej linii).4) Głowę trzymaj w równej linii z plecami.5) Wzrok skieruj przed siebie.6) Bądź skoncentrowany.7) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|video-landmine-press-half-kneeling.mp4
Wyciskanie jednorącz nad głowę z gumą|REPEAT|SPLIT:FBW:FITNESS|13|SHOULDERS|1) Stojąca, plecy wyprostowane. Nogi rozstawione na szerokość bioder, zapewniające stabilną postawę. Guma pod stopą.2) Ramię z gumą ustawione tak, aby dłoń znajdowała się na wysokości brody. Łokieć ugięty znajduje się w jednej linii z nadgarstkiem.3) Druga ręka wyprostowana wzdłuż tułowia.|1) Utrzymując prawidłową pozycję wyjściową wykonaj wdech i wyciśnij ramię nad głowę, prostując ramię w łokciu.2) W końcowej fazie ruchu wykonaj wydech. Następnie powolnym ruchem opuszczaj ramię, wykonując również płynny wdech.3)Wykonaj wyznaczoną liczbę powtórzeń, po czym zmień stronę.|1) Utrzymuj stałe napięcie mięśniowe.2) Dobierz odpowiedni opór gumy.3) Trzymaj głowę w równej linii z plecami.4) Napinając pośladki i uruchamiając tłocznię brzuszną, dbajo prawidłową postawę ciała.5) Nie wyginaj pleców w łuk.6) Bądź skoncentrowany.|video-wyciskanie-jednoracz-nad-glowe-z-guma.mp4
Wyciskanie ramion z gumą nad głowę|REPEAT|SPLIT:FBW:FITNESS|13|SHOULDERS|1) Złap gumę nachwytem zamkniętym nieco szerzej niż na szerokość barków.2) Stopy w lekkim rozkroku. Plecy proste, brzuch napięty.3) Gumę utrzymuj na wysokości obojczyków, drugi koniec pod stopami.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i rozpocznij wyciskanie ramion z gumą w górę. Łokcie prowadź przodem, przedramiona staraj się utrzymać na stałe skierowane w górę.2) Po wyciśnięciu wykonaj wydech, nie blokuj rąk w stawach łokciowych – nie dopuszczaj do ich przeprostu.3) Następnie wykonaj wdech i opuść ramiona.4) Wróć do pozycji wyjściowej, opuszczając gumę do linii obojczyków.5) Wykonajwyznaczoną liczbę powtórzeń.|1) Utrzymaj stałe napięcie ćwiczonych mięśni.2) Ustabilizuj sylwetkę, napinając mięśnie brzucha i pośladki.3) Dobierz opór gumy tak, aby pozwolił Ci na wykonanie ćwiczenia w pełni poprawnie.4) Bądź skoncentrowany.|video-wyciskanie-ramion-z-guma-nad-glowe.mp4
Wznosy ramion w bok z gumą|REPEAT|SPLIT:FBW:FITNESS|13|SHOULDERS|1) Stojąca, ramiona wyprostowane (bez przeprostu), ustawione wzdłuż tułowia trzymają gumę oporową.2) Palce skierowane do tułowia. Kciuki zwrócone do przodu.3) Stopy w lekkim rozkroku, guma pod nimi.4) Plecy proste.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i wznieś ramiona w bok, aż będą ustawione równolegle do podłogi.2) Następnie dwukrotnie wolniej opuszczaj ramiona, wykonując wydech.3) Wykonajwyznaczoną liczbę powtórzeń.|1) Dobierz odpowiednią gumę oporową w tym ćwiczeniu.2) Dbaj o stałe napięcie w mięśniach.3) Nie kołysz tułowiem.4) Trzymaj głowę w równej linii z plecami.5) Bądź skoncentrowany.|video-wznosy-ramion-w-bok-z-guma.mp4
Wznosy ramion w przód z gumą|REPEAT|SPLIT:FBW:FITNESS|13|SHOULDERS|1) Stojąca, ramiona wyprostowane (bez przeprostu), ustawione wzdłuż tułowia, w dłoniach trzymaj gumę oporową.2) Kciuki skierowane do siebie.3) Stopy w lekkim rozkroku, guma pod nimi. 4) Plecy proste.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech i wznieś ramiona w przód, aż będą ustawione równolegle do podłogi.2) Następnie dwukrotnie wolniej opuszczaj ramiona, wykonując wydech.3)Wykonaj wyznaczoną liczbę powtórzeń.|1) Dobierz odpowiednią gumę oporową w tym ćwiczeniu.2) Dbaj o stałe napięcie w mięśniach.3) Nie kołysz tułowiem.4) Trzymaj głowę w równej linii z plecami.5) Bądź skoncentrowany.|video-wznosy-ramion-w-przod-z-guma.mp4
Unoszenie ramion z hantlami w przód z przenoszeniem na boki|REPEAT|SPLIT:FBW:FITNESS|15|SHOULDERS|1) Pozycja stojąca, ramiona wyprostowane wzdłuż tułowia, dłonie trzymają hantle.2) Stopy w lekkim rozkroku. Plecy proste.|1) Utrzymując prawidłową pozycję wyjściową i unikając kołysania tułowiem, zbliż łopatki, wykonaj wdech i unieś hantle w przód, aż ramiona będą ustawione równolegle do podłogi.2) Następnie utrzymując hantle na wysokości barków, przenieś ramiona w bok i z powrotem w przód. 3) Powolnym ruchem opuść hantle do pozycji wyjściowej.|1) Utrzymuj stałe napięcie mięśni.2) Nie kołysz tułowiem. Pamiętaj o właściwym doborze ciężaru.3) Trzymaj głowę w równej linii z plecami.4) Bądź skoncentrowany.|unoszenie_ramion_w_przod_z przenoszeniem_na_boki.mp4
Cuban press|REPEAT|SPLIT:FBW:FITNESS|15|SHOULDERS| Pozycja stojąca, ramiona luźno opuszczone, hantle w dłoniach.|1) Weź wdech, wykonaj wznos ramion bokiem na wysokości barków, przy czym utrzymuj łokcie zgięte pod kątem prostym.2) Nie zmieniając pozycji łokci, zacznij powoli unosić hantle poprzez rotację w stawie barkowym. 3) Gdy przedramiona będą skierowane w górę, wykonaj wyciśnięcie hantli nad głowę, wypuszczając powietrze. 4) Weź wdech i powolnym, kontrolowanym ruchem opuść hantle takim samym torem ruchu jak przy podnoszeniu.|1) Ćwiczenie wymaga precyzji technicznej oraz odpowiedniej liczby powtórzeń. Nigdy nie przedkładaj ciężaru nad poprawność techniczną.2) Przez cały ruch postaraj się utrzymać złączone łopatki.3) Nie unoś barków.4) Nie wypychaj bioder. 5) Nadgarstki mają stanowić jedną linię z przedramionami przez cały czas ćwiczenia. 6) Zbyt szybkie wykonanie ćwiczenia jest błędem technicznym.|cuban_press.mp4
