Prostowanie ramion z gumą|REPEAT|SPLIT;FBW;FITNESS|13|TRICEPS|1) Stań przodem do gumy oporowej zaczepionej wyżej.2) Sylwetka wyprostowana, nieznacznie pochylona.3) Łokcie znajdują się blisko tułowia.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i zacznij prostowaćramiona w stawach łokciowych.2) Podczas ruchu utrzymuj ciało nieruchomo, łopatki mocno ściągnięte, kontynuuj ruch do pełnego wyprostu w stawie łokciowym.3) W momencie maksymalnego napięcia zatrzymaj ruch na ułamek sekundy, a następnie zacznij odkładać ciężar, wydychając powietrze.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Utrzymuj stabilną sylwetkę, ruch ma się odbywać jedynie w stawach łokciowych.3) Bądź skoncentrowany.|video-prostowanie-ramion-z-guma.mp4
Prostowanie ramion na TRX|REPEAT|SPLIT;FBW;FITNESS|21|TRICEPS|1) Złap uchwyty TRX nachwytem.2) Ramiona w łokciach wyprostowane (bez przeprostów).3) Mięśnie brzucha napięte.4) Ciało lekko pochylone, podpór na taśmach TRX.|1) Utrzymując prawidłową pozycję wyjściową, zegnij ręce w stawie łokciowym. Schodząc w dół, łokcie również kieruj w dół.2) Opuszczaj ciało, aż czubek głowy znajdzie się przy taśmach TRX. Wyprostuj ramiona w łokciach, zachowując stałe napięcie mięśni.|1) Podczas wykonywania ruchu utrzymuj wyprostowaną sylwetkę.2) Podczas wykonania ćwiczenia staraj się skupić na pracy tricepsa.3) Bądź skoncentrowany.|prostowanie ramion_trx.mp4
Prostowanie ramion z linką wyciągu dolnego w opadzie tułowia|REPEAT|SPLIT;FBW;FITNESS|22|TRICEPS|1) Przyjmij pozycję stojącą w opadzie tułowia, nogi w lekkim wykroku.2) Ramię niećwiczące oparte na bramie.3) Ręka ćwicząca trzyma linkę dolnego wyciągu, ramię prostopadle do podłoża, łokieć mocno ugięty.|1) Utrzymując prawidłową pozycję wyjściową, bez ruchu w stawie ramiennym, wykonaj mocny wyprost w stawie łokciowym. 2) Pracę kontynuuj do pełnego wyprostu, w punkcie maksymalnego napięcia zatrzymaj ruch na ułamek sekundy.3) Następnie powolnym ruchem opuść ciężar do maksymalnego rozciągnięcia.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Staraj się nie wyginać pleców w łuk, uruchom tłocznię brzuszną, która pozwoli na lepszą stabilizację sylwetki.3) Bądź skoncentrowany.|prostowanie_ramion_z_linka_wyciagu_dolnego_w_opadzie_tulowia.mp4
Prostowanie ramion z linkami wyciągu górnego|REPEAT|SPLIT;FBW;FITNESS|8|TRICEPS|1) Stań przodem do wyciągu. Chwyć za linki.2) Sylwetka wyprostowana, nieznacznie pochylona. 3) Łokcie znajdują się blisko tułowia.|1) Utrzymując prawidłową pozycję wyjściową, weź wdech i rozpocznij prostowanie ramion w stawach łokciowych.2) Podczas ruchu utrzymuj ciało nieruchomo, łopatki mocno ściągnięte, kontynuuj ruch do pełnego wyprostu w stawie łokciowym.3) W momencie maksymalnego napięcia zatrzymaj ruch na ułamek sekundy, a następnie rozpocznij odkładanie ciężaru, wydychając powietrze.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Utrzymuj stabilną sylwetkę, jedyny ruch ma się odbywać w stawach łokciowych. 3) Bądź skoncentrowany.|prostowanie_ramion_z_linkami_wyciagu_gornego.mp4
Wyciskanie francuskie z przenoszeniem ramion za głowę|REPEAT|SPLIT;FBW;FITNESS|14;3|TRICEPS|1) Leżąc na ławce, chwyć sztangę łamaną wąskim chwytem. Dłonie nieco węziej niż szerokość barków, kciuki skierowane do siebie.2) Ściągnij sztangę z uchwytu i unieś ją nad klatkę piersiową, ramiona powinny znajdować się prostopadle do podłoża.|1) Inicjując wdech, opuść sztangę do czoła, trzymając ramiona nieruchomo. Przedramiona wykonują półkolisty ruch.2) Utrzymując stałe zgięcie w łokciu, przenieś sztangę za głowę.3) Następnie przenieś sztangę z powrotem nad czoło i wykonaj wyprost w łokciach, wracając do pozycji początkowej.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Stopy solidnie zaprzyj o podłogę.3) Bądź skoncentrowany.4) Opuszczanie do czoła wykonuj ze szczególną ostrożnością.|wyciskanie_francuskie_z_przenoszeniem_ramion_za_glowe.mp4
Wyciskanie sztangi wąskim chwytem|REPEAT|SPLIT;FBW;FITNESS|14;3|TRICEPS|1) Pozycja leżąca na ławeczce płaskiej.2) Sztanga w dłoniach, ramiona wyprostowane nad klatką piersiową.3) Łopatki mocno ściągnięte.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj wdech, a następnie opuść sztangę do klatki piersiowej na wysokość mostka, utrzymując łokcie blisko ciała.2) Następnie utrzymując tor ruchu jak przy opuszczaniu, wykonaj mocny wyprost w łokciach, wyciskając sztangę nad klatkę piersiową. 3) W końcowej fazie ruchu wykonaj mocny wydech.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Bądź skoncentrowany.3) Upewnij się, że podczas ruchu prowadzisz łokcie blisko tułowia, tak aby maksymalnie zaangażować mięśnie trójgłowe ramienia.4) Opuszczanie sztangi powinno trwać dwa razy dłużej niż jej wyciskanie.5) Jeżeli wykonujesz to ćwiczenie po raz pierwszy, poproś kogoś o asekurację.|wyciskanie_sztangi_waskim_chwytem.mp4
Wyciskanie francuskie hantlami z przenoszeniem ramion za głowę|REPEAT|SPLIT;FBW;FITNESS|15;3|TRICEPS|1) Pozycja leżąca na ławce płaskiej.2) Hantle w dłoniach, ramiona wyprostowane nad klatką piersiową. Kciuki skierowane w tył.|1) Inicjując wdech, opuść hantle do czoła, trzymając ramiona nieruchomo. Przedramiona wykonują półkolisty ruch.2) Utrzymując stałe zgięcie w łokciu, przenieś hantle za głowę.3) Następnie przenieś hantle z powrotem nad czoło i wykonaj wyprost w łokciach, wracając do pozycji początkowej.4) Wykonaj wyznaczoną liczbę powtórzeń.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Stopy solidnie zaprzyj o podłogę.3) Bądź skoncentrowany.4) Opuszczanie do czoła wykonuj ze szczególną ostrożnością.|wyciskanie_fancuskie_hantalmi_z_przenoszeniem_ramion_za_glowe.mp4
Wyciskanie francuskie hantlami|REPEAT|SPLIT;FBW;FITNESS|15;3|TRICEPS|1) Pozycja leżąca na ławce płaskiej.2) Hantle w dłoniach, ramiona wyprostowane nad klatką piersiową. Kciuki skierowane w tył.|1) Inicjując wdech, opuść hantle do czoła, trzymając ramiona nieruchomo. Przedramiona wykonują półkolisty ruch.2) W momencie gdy hantle znajdą się blisko czoła, wróć do pozycji wyjściowej, prostując łokcie i wykonując wydech.3) Wykonaj zadaną liczbę powtórzeń.|1) Kontroluj ruch podczas trwania ćwiczenia.2) Stopy solidnie zaprzyj o podłogę.3) Bądź skoncentrowany.|wyciskanie_francuskie_hantlami.mp4
Wąskie pompki|REPEAT|SPLIT;FBW;FITNESS|20|TRICEPS|1) Przyjmij pozycję podporu przodem.2) Dłonie rozstaw na szerokość braków.3) Utrzymuj proste proste plecy.4) Pilnuj, aby łokcie nie znajdowały się w przeproście.|1) Utrzymując prawidłową pozycję wyjściową, wykonaj dokładne, płynne i powolne opuszczanie klatki piersiowej (bez dotykania nią o podłoże), połączone z wdechem powietrza.2) Następnie wraz z wydechem powietrza dynamiczne wróć tułowiem do góry poprzez mocną pracę ramion.3) Wykonaj wyznaczoną liczbę powtórzeń.|1) Pamiętaj o prostych plecach i poprawnej pozycji miednicy. 2) Cały czas kontroluj ruch opuszczania tułowia.3) Dynamicznie kieruj tułów do góry.4) Utrzymuj głowę w równej linii z plecami.5) Bądź skoncentrowany.6) Nie spiesz się podczas wykonywania tego ćwiczenia, jego zbyt szybkie wykonanie jest błędem technicznym.|waskie_pompki.mp4
Pompki na poręczach z gumą|REPEAT|SPLIT;FBW;FITNESS|19|TRICEPS|1) Dłonie ustawione w jednej linii.2)Ramiona zablokowane w stawie łokciowym (bez przeprostów).3) Barki napięte, łopatki ściągnięte. 4) Chwyt zamknięty (kciuki również ściskają rurkę).5) Nogi skierowane w dół, ułożone na gumie oporowej. 6) Napięte mięśnie brzucha.|1) Wykonaj podpór na poręczach. 2) Utrzymując łokcie skierowane w tył, powoli uginaj je do osiągnięcia 90 stopni zgięcia w stawie. 3) Cały czas trzymaj napięte mięśnie. Nie przechylaj się za bardzo do przodu.4)W najniższym punkcie zatrzymaj się napół sekundy, a następnie wykonaj kontrolowany ruch w górę.5) Pamiętaj, by nie rozluźniać barków i trzymać łopatki ściągnięte.|1) Używaj gumy, która umożliwi ci poprawne wykonywanie ćwiczenia. 2) Nie wyginaj się w odcinku lędźwiowym.3) W trakcie ruchu pilnuj linii pleców.4) W górnej pozycji pamiętaj, by nie rozluźniać barków i nie robić przeprostów.5) Bądź skoncentrowany.6) Ćwiczeniami przydatnymi będą pompki klasyczne, pompki szerokie, pompki wąskie, pompki francuskie, szwedki (bench dips).7) Nie spiesz się podczas wykonywania tego ćwiczenia, zbyt szybkie wykonanie jest błędem technicznym.|
